UseCase,CurrentSituation,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,-,-,-,-,
JIT Production,"Procurement and production planned and scheduled (""locked and loaded"") of finished goods based on low-quality demand forecasts with limited or costly flexibility without anticipating material and capacity needs leading to excessive lead times or missed ATP commitments. ",Cloud,industry cloud,IoT,prescriptive trade-off analytics,artificial intelligence,machine learning,block chain,3D Printing,3D Product Virtualization & Customization,-,-,-,-,-,-,-,-,-,
Real time Inventory Management,Inventory status and condition data held in separate logistics- procurement- and merchandising systems with limited ability to commit inventory quickly in view of revenue potential and opportunity costs to meet store and direct-to-customer orders. ,Cloud,industry cloud,IoT,prescriptive trade-off analytics,artificial intelligence,machine learning,block chain,inventory management apps,mobile devices,-,-,-,-,-,-,-,-,-,
Virtual and Augmented Engagement,VR and AR use for gamification is nascent and inconsistent- with only singular instances demonstrating traction and results. ,AR/VR,multiple digital ,mobile devices,IoT,mobile apps,loyalty apps,-,-,-,-,-,-,-,-,-,-,-,-,
"Connected Digital Experiences (Smart Rooms, Shelves, Mirrors) ",Connected interactions in limited deployments and in various forms. ESL's are fully deployed in some retailers. Smart shelves- fitting rooms- advanced video and AR / VR primarily in pilots.,Smart mirrors,AR/VR,in-store networking,Wi-Fi/LiFi,mobile consumer apps,omnichannel commerce,RFID,-,-,-,-,-,-,-,-,-,-,-,
"Augmented & Virtual Product Search (fit, placement, info)",Visual Search use of AR/VR is early- in pilot and development by several retailers presaging acceleration for 2017-2020.,AR/VR,mobile consumer apps,SEO,advanced image /content analytics,video,3D virtualization,photo realistic rendering,-,-,-,-,-,-,-,-,-,-,-,
3D Product Design & Review,Products are designed and reviewed mostly in 2 D context- but there's minimal ability to imagine what the finished good will actually look like dimensionally and the physics of how the materials will fall/flow. Current sampling processes hamper speedy product development and sourcing. ,IoT,AR/VR,PLM,Line planning,3D assortment planning,smart mirrors,3D visualization ,rendering  tools,-,-,-,-,-,-,-,-,-,-,
Crowdsourced Ideation & Innovation,Disconnected systems allow for ideation and limited social and or digital collaboration opportunities.,Cloud,Mobile,social sentiment analytics,crowdsourcing tools,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Assortment Optimization (Space, Price, Promo, Localization)",Financial and product aspects of assortments and categories take precedence with some regard for micro-space constraints but only with subsequent (secondary) regard for macro-space allocation- landed cost on the shelf- and lifecycle pricing and promotion tactics with capital allocation made within not across categories and in-store range and investment localization disconnected from online endless aisle strategies.,Cloud,industry cloud,prescriptive trade-off analytics,visual AI,IoT,predictive personality insights,reasoning through market ,competitive content,-,-,-,-,-,-,-,-,-,-,
Sentiment Analysis,Anecdotal- sparatic ingestion of sentiment in merchandise lifecycle management and typically applied to thematic and campaign themes- not styles and products.,Cloud,industry cloud,sentiment analysis,predictive personality insights,visual AI analytics,machine learning,reasoning through market ,competitive content,-,-,-,-,-,-,-,-,-,-,
Dynamic Merchandise Optimization,Associates are underserved with know-how and performance metrics and store labor budgeted and scheduled as a cost- not revenue-generator. Customers counted but interactions with merchandise- screens- displays- and associates not understood and little consideration of upstream offers presented . Limited guidance to improve associate behavior's impact on conversion- transaction value- and customer satisfaction.,Cloud,machine learning,visual AI analytics,IoT,behavioral analytics,real-time prescriptive next best action analytics.,-,-,-,-,-,-,-,-,-,-,-,-,
B2B Networks/Marketplaces,Retailers source from suppliers based on historic experience- patterns and standard bidding processes- not always digital.,B2B Networks,sourcing catalogs,Cloud,mobile apps,social collaborative tools,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital Product Life-cycle Management,Product development information is stored with each design- but is not always accessible outside of the core development team,PLM,digital content management,cloud,mobile,social collaboration,3D visualization,-,-,-,-,-,-,-,-,-,-,-,-,
Global Product Compliance Management,Standards are set by governing councils- and individual audits are completed periodically.  Information is availble to auditors- but can be organized in many different methods,Traceability,IoT,Digital supply chain validation ,time stamps,B2B Networks,-,-,-,-,-,-,-,-,-,-,-,-,-,
360 Connected Customer Management,Siloed customer loyalty or customer management capabilities provide a limited view into customer context and individualized needs.,360 Omnichannel CRM,AI,analytics,loyalty apps,social media,-,-,-,-,-,-,-,-,-,-,-,-,-,
Clienteling,Inconsistently executed paper based client management in store.,360 Degree CRM,loyalty,AI,analytics,mobile devices,tablets,digital screens,IoT,-,-,-,-,-,-,-,-,-,-,
Augmented customer support,Inconsistently executed customer support with limited view of the customer and their needs- and no ability to escalate proactive processes autonomically.,Social media,contact center tools,case management tools,multi-touch engagement including social,chat,email,phone,SMS,voice,bots,AI,IoT,-,-,-,-,-,-,
Augmented Social Marketing,Social marketing campaign decisions are informed by experiential gut feel with limited data on influencers' reach to target audiences resulting in low audience reach- low return on social marketing budgets- and poor budget allocation.,Cloud,machine learning,natural language processing,personality,behavioral,conversational tone analytics,social network analytics,-,-,-,-,-,-,-,-,-,-,-,
Augmented Content Optimization,"User-driven content tagging is slow- cumbersome- and inconsistent. Product- keyword- theme- and campaign taxonomies are static with emotive- ""brand personality-"" and thematic dimensions poorly understood and inconsistently defined and documented.",Cloud,machine learning,natural language processing,visual AI analytics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented Editorial Composition,Copywriting expertise is expensive and scarce- such skills are lacking in composition of product descriptions- and not scalable to produce emotionally attuned one-to-one copy.,Cloud,machine learning,natural language processing,personality,behavioral,conversational tone analytics,natural language expression,-,-,-,-,-,-,-,-,-,-,-,
Contextualized Marketing,Contextualization is based on location and day/time- maybe weather- and purchasing patterns.,Cloud,IoT,time-stamped geo-spatial analytics,unstructured data analytics,ingestion of worldhood data sources,customer journey analytics,natural language processing,predictive behavioral analytics,natural language expression,trade-off analytics,-,-,-,-,-,-,-,-,
Augmented Promotion Optimization,Primarily rule-based planning and composition of promotion events- sometimes informed by predictive analytics- with limited insight into customer journey patterns.,Cloud,IoT,omni-channel,journey-aware prescriptive behavioral analytics,AI-content curation,trade-off optimization,machine learning,-,-,-,-,-,-,-,-,-,-,-,
Omnichannel Marketing Optimization,Marketing mix modeling disconnected from one-to-one customer journey marketing- rules-based or infrequently optimized programmatic advertising bidding- imprecise return on marketing investment- retargeting disconnected from off-line transactions,Cloud,machine learning,behavioral ,personality analytics,trade-off analytics,optimization,-,-,-,-,-,-,-,-,-,-,-,-,
Dynamic Supply Network Management,Suppliers and retailers are co-dependent on each other to relay information on capacity- availability- and scheduling with manual intervention often required to resolve issues.,Cognitive,Analytics,B2B Networks,Cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented Forecasting & Planning,Supply chain processes operate on latent- inconsistent- and incomplete structured enterprise and supplier data across disparate function-oriented rules-based management and optimization systems.,Cloud,industry cloud,machine learning,unstructured data reasoning,other AI technologies,prescriptive analytics,IoT, intelligent assistants.,-,-,-,-,-,-,-,-,-,-,
Predictive Network Inventory  Orchestration,Network inventory positioning is largely forecast-centric- with reactive adjustments.,Predictive analytics,RFID,IoT,WMS,TMS,GTM,-,-,-,-,-,-,-,-,-,-,-,-,
Advanced Tech Augmented Work,Voice is used extensively in warehouse operations to aid order fulfillment operations.,Mobile,Voice,AR,VR,3D print,task management,WMS,TMS,GTM,-,-,-,-,-,-,-,-,-,
Autonomic Operations,Fulfillment has been predominated by manual operations- requiring manual hand-offs-  conveyance- and pack and ship  throughout fulfillment operations,Robotics,drones,AGVs,AI /Cognitive Computing,Sensors,IoT,WMS,TMS,GTM,-,-,-,-,-,-,-,-,-,
Traceability,Goods can be tracked from stage to stage- but there is limited visibility across multiple steps in the supply chain due to disparate systems that do not easily transfer information,Cloud,Networks,RFID,IoT,WMS,TMS,GTM,asset management,-,-,-,-,-,-,-,-,-,-,
Smart Financial Supply Chain,Financial transactions and contracts are executed per their terms- but payments can be delayed- and verification of authenticity varies,Blockchain,B2B Networks,digital supply chain,contract management,finance,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented Risk Management,Risks are manually and inconsistently factored into business decisions,Blockchain,traceability,IoT,AI /cognitive analytics,IoT,weather analytics services,regional risk assessment services,-,-,-,-,-,-,-,-,-,-,-,
Mobile Inventory Information Management,Goods are scanned at receipt- transfer and sale. Mobile inventory activities are generally restricted to supply management tasks.,Cloud,Mobile,inventory systems,mobile apps,In store pick,pack ,ship,inventory lookup,-,-,-,-,-,-,-,-,-,-,
Mobile Task management,Even as store business models and operations are becoming more complex- tasks are still communicated by email- mailbag- and excel spreadsheet.,Mobile devices,task management,mobile apps,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mobile customer engagement,Stores are well along in developing mobile-based apps that customers can use to engage anywhere anytime- but are earlier in equipping the sales associate with mobile clienteling and POS tools that the sales associate can use to engage better and smarter with the customer on the sales floor.,Mobile clienteling,omnichannel commerce,mobile payments,mobile wallets,in-store networking,wearables,other mobile apps,mobile devices,IoT,-,-,-,-,-,-,-,-,-,
Digital Workforce Management,Workforce underserved with poor know-how- communication tools for managing schedules- seeking and providing peer support- tracking personal and team performance- and managing benefits- career progression- skills development and hiring practices.,Cloud,machine learning,intelligent agents,collaboration ,social applications,self-service schedule management tools,AI-enabled job-aptitude alignment,training,career progression,HCM ,benefits software,-,-,-,-,-,-,-,
Empowered Worker (Directed Digital Execution),Inaccurate- incomplete- or out-of-date information for execution of in-line process tasks delays completion- creates rework- reduces job satisfaction- and adds cost,Cloud,maching learning,IoT,AI-knowledge search ,retrieval,intelligent assistants,mobile ,social collaboration,-,-,-,-,-,-,-,-,-,-,
Augmented Knowledge Work,Workers handling non-routine problem-solving tasks in collaborative workflows spend too much time retrieving- validating- consolidating- and normalizing data spread across enterprise systems- desktop applications- and external sources with little analytical support for the problem-solving tasks themselves.,Cloud,maching learning,text analytics,natural language processing,AI-enabled image analytics,IoT,AI-enabled knowledge search ,retrieval,intelligent assistants,causal reasoning ,hypothesis generation,dialogue management,training,social collaboration,-,-,-,-,
Next generation payments,Consumer - retailer payments processes require a myriad of partners- internal and external processes- adherence to PCI compliance and PiP requirements- and are expensive to operate and support- as changes are required.,Mobility,Cloud,multi-factor authentication,Biometric authentication,APIs,mobile apps,mobile devices,payment devices,one-click digital apps,managed services,PCI ,PiP compliance testing,-,-,-,-,-,-,
Next generation Security,Retailers have focused most of their attention on Loss Prevention- while considering other cybersecurity risks as a risk versus cost of business trade-off.  At the same time- Threat actors have been getting much more organized and sophisticated. ,end-to-end encryption,tokenization,multimodal authentication,biometrics,advanced security analytics,threat intelligence platforms,cognitive,-,-,-,-,-,-,-,-,-,-,-,
Next generation Loss Prevention,Retailers have relied heavily on monitored / recorded video to identify and pursue theft inside physical retail- sometimes coupled with attached product sensors which alarm at exit- and often damage goods if not removed appropriately.  ,Video,content analytics,AI/cognitive analytics,machine learning,loss prevention systems,IoT,facial recognition,biometrics,-,-,-,-,-,-,-,-,-,-,
Digital marketing,Most marketing at the bank branch tends to be paper-based and homogenous based on centralized design and printing of the marketing collateral. This leads to imprecise targeting- wasted expense- and a significant lag from campaign design to distribution of materials.,Real-time (or near-real-time) data ,analytics to respond to changing needs,Interactive kiosks,Digital marketing signage,Feedback technology to measure usage ,response rates.,-,-,-,-,-,-,-,-,-,-,-,-,
Mobile branch staff,Branch staff are usually tied to teller stations or representative desktops. This mandates that customers navigate the branch- often without guidance- to accomplish the goals for their visit. There is very little flexibility or differentiation of services- often leading to customer frustration.,Enterprise mobility.  (mobile applications,data,security,device management).  Unified communications. User-accessible WiFi.  Concierge (greeter) technologies (calendaring,queuing,customer authentication).  Integrated automated ,staffed systems.,-,-,-,-,-,-,-,-,-,-,-,
Chatbot service,Traditionally- product/service selectors in the online bank have been limited and require additional assistance to be usable. However- online banking users have limited capability to seek and receive support without abandoning the web interface and using telephone resources (or visits to the branch). This leads to frustration for the customer and a loss of opportunity for the bank to engage and expand the relationship with the customer.,Cognitive capabilities against comprehensive customer information systems for retail customers,small business owners,corporate clients.  Mobile ,online delivery of intelligent support through text ,natural voice,including the proper security ,compliance controls where necessary. Feedback architectures that update branch ,contact center with chatbot interaction information ,immediate handoff if human interaction is necessary. ,-,-,-,-,-,-,-,-,-,
Next-generation mobile banking,Most banks are still on their first- or second-generation mobile banking platforms. But the mobile market is changing quickly- challenging banks to keep up with nonbank mobile experiences.,Biometrics as the forward-looking answer to authentication.  Location services that will be important in the next generation of mobility.  Multimedia capabilities,driven by enterprise content management,to enrich the mobile experience. ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Contextual marketing,The bank's lines of business are typically separated by organizational and technological barriers that prevent the institution from treating customers holistically across the enterprise. This has an associated negative impact of disparate marketing campaigns that apply to- at best- broad customer categories (retail- small business- etc.). In addition- these programs are hard to measure and don't lend themselves to quick responses to market needs.,Enterprise data architectures,Anonymization of personally identifiable information to support cloud-based analytics,Omni-experience architectures to deliver marketing messages to appropriate devices at the right time ,with security ,compliance,Graphic user dashboards to show patterns ,trends that are difficult to see from raw data.,-,-,-,-,-,-,-,-,-,-,-,
Retail customer onboarding,"Customers continue to be frustrated with antiquated and difficult-to-use onboarding solutions. Banks- too- leverage very little from current onboarding processes. The beginning of a relationship is a critical time for banks to ""do it right.""",Enterprise data architectures,Omni-experience architectures to integrate known customer information ,security into the onboarding process,RPA to automate the onboarding process ,integrate with machine learning.,-,-,-,-,-,-,-,-,-,-,-,-,-,
Advanced corporate payments,"Current installed corporate banking systems do not enable corporate clients to optimize payments based on cost and cash flow. This is especially for smaller corporate clients and large ""small business"" customers.",Payment services hubs built on SOA ,/or open API architectures,Big data/analytics,Sophisticated modeling ,dashboard systems to allow corporate customers to track payments in real or near real time.  ,-,-,-,-,-,-,-,-,-,-,-,-,-,
Full customer payment visibility,Currently- retail payments are separated by line of business. Information about payments made by credit- debit- ACH- and so forth are held within those lines of business- so financial institutions (FIs) have little information on overall spend patterns and behavior.,Service-oriented architecture,Mobile,Big data/analytics.  ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
P2P payments,Consumer-to-consumer payments are largely reliant on cash and checks. Payment types include splitting rent and utilities or paying babysitters or lawn services. Paper-based payment types are slow- insecure- and inefficient.,Mobility,Biometric authentication,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mobile bill pay,igital bill payment is available online but mainly through desktop log-in. Mobile devices can access the service but usually only after an online account has been created via desktop or laptop.,Mobility,Biometric authentication,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cross-border payments are still handled largely through correspondent banking relationships established over decades. Clearing and settlement take multiple days to occur.,Provide retail and corporate customers the ability to clear and settle payments across borders in real or near real time.,Cross-border faster settlement extends the speed ,immediacy of P2P to international payments by creating alternate payment ,settlement rails built for immediate payment ,settlement.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Least cost routing,The separation of payment products by line of business also means that payments that could be handled through less expensive means will often be routed across pricier options (credit- wire- etc.).,Service-oriented architecture,big data/analytics,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Customer selection and balance sheet optimization,Data-driven customer selection is rare including regulation-adjusted client value- as product silos limit internal evaluation of client profitability- exposure- and risk.  Most banks struggle to move beyond the widely available product-by-product economics to determine the profitability of an individual client.,Big data/analytics ,machine learning to drive predictive analytics,such as scenario modeling based on economic growth,regulations,willingness to adjust loan portfolio,risk exposure of the client.  Early warning system of credit-quality deterioration among clients.  Digital tools to support prioritization of leads for client opportunities to steer relationship management activity,-,-,-,-,-,-,-,-,-,-,-,-,
"Strategic, data-driven pricing optimization",Margin contraction- growing competition- and the ongoing low-interest environment force corporate banks to optimize their pricing strategy to maximize revenue and drive customer loyalty.  Pricing discretion of relationship managers versus company pricing policies cause massive fluctuation in revenue- inconsistent client satisfaction- and suboptimal pricing strategies.  There is a lack of understanding of client price sensitivity.  Reactive pricing (reply to RFPs) and revenue maximization (hit product sales targets) dominate instead of a proactive strategy with the customer's benefit at heart.,Big data/analytics to optimize pricing ,analyze external data,Machine learning to forecast ,optimize campaign profitability ,personalize the offering to individual clients,Real-time competitive intelligence monitoring.,-,-,-,-,-,-,-,-,-,-,-,-,
"API-based partner, supplier, and customer ecosystems",Today's bank-centric ecosystem is expensive for banks to manage and inconvenient- slow- and tedious for customers- suppliers- and partners to access.  Host-to-host connectivity dominates corporate-to-bank connectivity. This makes onboarding new customers expensive and lengthy- while customers struggle to integrate data to get a cross-bank view of their financial position. Payments also remain an often manual and opaque process for corporates.  Organizations often focus on digitizing their own processes- but face barriers connecting with other digital entities.,Enterprise digital platform,APIs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
DLT-based trade finance networks,Trade finance and supply chain finance involve highly complex- often manual and paper-based processes that haven't benefited much from the digitalization of the industry. Hence the digitalization of international trade remains a priority for manufacturers- importers- exporters- authorities- logistics- insurers- and trade finance organizations. However- stakeholder diversity- the complexity of international supply chains- and regulations have been met with too little and too fragmented investments to automate trade. With too many different options available- a clear direction is not yet in sight.  Today- trade finance remains one of the most opportunistic areas within corporate and commercial banking to leverage DLT technology. As a result- almost every tier 1 bank is experimenting by itself or in a consortium to digitize trade.  ,Distributed ledger technology,Smart contracts to reduce friction ,risk,Connected devices for asset tracking,BDA,Digital platform ,APIs,-,-,-,-,-,-,-,-,-,-,-,
Crowdlending,Today's traditional credit models have limited the banks' ability and appetite to extend credit to SMEs and high-risk borrowers due to strict regulatory requirements.  As a result- SMEs and start-ups do not have access to sufficient funding- which stifles innovation. Banks only slowly extend more credit to these segments- and as a result- alternative sources of funding such as venture capital- private equity- and P2P platforms close the gap.,New settlement platforms,Cloud,Digital platforms,APIs,New risk scoring models,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cash management as a service,Sales staff is often not proactively assessing client needs but merely reactive to request for proposals (RFPs) from corporate customers. Campaigns are usually product centric- not needs based.  As a result- most corporate banks purely push products without offering customized advice that clients seek.  Relationship teams are incentivized to focus on short-term sales- which often is not in the client's best interest.  Customer understanding is lacking due to poor customer intelligence.,BDA ,machine learning,APIs,Account aggregation,Scenario modeling,-,-,-,-,-,-,-,-,-,-,-,-,-,
Retail customer onboarding,Firms must conduct know your customer (KYC) and customer due diligence (CDD) for onboarding new retail and small business customers. Regulators are increasing the pressure on financial firms to gather and store more detailed KYC and CDD profile data.,Advanced analytics such as machine learning,natural language processing,cognitive analysis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Retail transaction monitoring,Firms are always looking to reduce the number of false-positive compliance alerts and improve their consumer account transaction monitoring systems.,Advanced analytics such as machine learning,natural language processing,cognitive analysis.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Fraud transaction monitoring,Financial firms are under constant threat from a myriad of bad actors that are looking to get access to customer accounts and funds. Firms are also facing increasing pressure from regulators to be more proactive to detect and prevent fraud. In regulatory reports and examinations- firms must be able to document how they are assembling their data and implementing their transaction monitoring analysis to reduce fraud at their institutions.,Advanced analysis tools including machine learning ,natural language processing to look for new ,actionable patterns of through the analysis words ,phrases that could be signs of employees involved in suspicious activities ,actively working to avoid detection ,arrest (For example,anomaly detection to analyze communications that use odd word choices ,phrasing for a given situation or transaction.),-,-,-,-,-,-,-,-,-,-,
Regulatory compliance reporting,Firms must aggregate data from silos inside the firm and combine it with data from outside sources. Many firms struggle to meet regulator expectations to provide more detailed periodic and ad hoc regulatory reporting on consumer accounts.,Advanced analytics such as machine learning,natural language processing,cognitive analysis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Monitor staff communication,Firms are responsible for the conduct of their employees and must ensure that they protect their customers' funds- transaction data- and personal information. This protection includes bad actors outside as well as employees inside the firm. Firms must monitor communications for signs of illegal or suspicious activity. This is increasing difficult as bad actors get more creative to avoid detection and arrest and use combinations of digital communications as well as code words and phrases to avoid detection and arrest.,To stay ahead of rogue employees that may be working alone,with other employees or with their customers to commit crimes,firms should aggregate data from lines of business ,combine it with external information (e.g.,social media). There have been multiple regulatory actions against firms that had employees that used code words to signify their intent as part of their schemes to collude to defraud customers ,investors. Advanced text analytics ,machine learning can help firms analyze huge amounts of data more quickly than keyword or key phrase watch lists.,-,-,-,-,-,-,-,-,-,-,-,
Transaction monitoring for bank staff,Firms face risks from insiders and employees. Bad actors can use their access to systems and information to steal funds- sensitive company data- and customer identity information.,Advanced analytics include machine learning,natural language processing,cognitive analysis.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Business Logic,In most banks- the logic needed to run the products and services are locked in monolithic core banking systems that are difficult- if not impossible- to change or modify without undue risk and long time frames. This prevents the lines of business from responding in a timely (and efficient) manner to market changes.,RESTful API Description Languages,Cloud-based app dev,API Testing platforms,Modular core processing systems,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Open API,Banking systems have been built over several decades- spanning multiple programming standards and technologies. This has led to a heterogeneous environment that creates challenges to subsequent integration efforts to streamline the business.,RESTful API Description Languages,Cloud-based app dev,API Testing platforms,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
RPA for Operational Support,Most noncustomer processes in the institution were built before the latest transformational technologies were adopted (cloud- mobile- etc.). At best- this increases the complexity in the infrastructure as work-arounds and temporary (often manual) solutions are put in place. At worst- legacy processes add to inefficiencies and vulnerabilities in the bank's operations.,Robotic process automation that brings cognitive capabilities to operational processes,Enterprise data architectures that are needed to feed the automated processes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Automated Mortgage Origination,Mortgage origination is a process laden with paper- lags- and inefficient subprocesses. This is a line of business that is most in danger of disruption from smaller- more agile providers than almost any other.,AI-enhanced processing (RPA)Consolidated data ,analyticsMobile notifications ,portals to lending processCompliance processes that run parallel,not in line with,the business process,-,-,-,-,-,-,-,-,-,-,-,-,-,
Open environment for business partners,Most banking business models today are constrained to the institution's own products and services. As customers begin to depend on more and more nonbanking financial experiences and services- banks are challenged to expand their offerings through partnership because of security- privacy- and interoperability hurdles.,Open (RESTful) APIs,Strong security ,antifraud technologies,Governance systems to mitigate risk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Migration of app dev to cloud,For larger institutions that run their own development and testing groups- app dev is an expensive proposition. The costs associated with staffing- training- development- staging- and testing hardware and software taxes the ability of the institution to move investments to line-of-business needs. The situation is particularly challenging in the support of older- legacy systems.,Process reengineeringAgileApplication ,automated testing toolsIntegration with risk,governance,security systems,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
360-degree connected customer management,Integrated sales and marketing channels are prevalent and growing in capability. Most life science companies subscribe to external HCP and Rx databases for marketing and sales efforts.,Mobile devices using cloud-based software ,data are used throughout the industry. Analytics tools can suggest next best action by identifying key opinion leaders for HCPs,sales trends,HCP channel preference,along with brand awareness ,sentiment through social listening.,-,-,-,-,-,-,-,-,-,-,-,-,
Improving medication adherence,A leading treatment issue is the failure by patients to take their meds as prescribed. This is true for clinical trials and in the healthcare arena.,Expand mobile links to patients.,Build social medical communications.,Use smart pills to improve medication compliance.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Improving patient experience,Clinical trials often fail because of the inability to recruit sufficient patients to participate. Most eligible patients are unaware that trials exist (e.g.- 3?5% of cancer patients). Better patient engagement is needed to increase awareness and improve recruitment.,Data mine available patient databases.,Use social media to increase trial awareness ,opportunities.,Social media data ,analytics.,-,-,-,-,-,-,-,-,-,-,-,-,-,
Improving laboratory workflows,"Current tools supporting researchers are largely discrete- requiring scientists to manually connect the dots.
Collaborative research creates numerous data silos- which limit productivity and introduce errors.",Interconnected lab applications in a common cloud,including experimental design,execution,data sharing,analysis applicationsSecure collaborative infrastructureMachine learning ,automated workflowsCognitive computing supporting research data ,publication mining,-,-,-,-,-,-,-,-,-,-,-,
"Anytime, anywhere (ATAW) mobile access",Some laboratory instrumentation has the potential to deliver insights to scientist's mobile platform.  Solutions are discrete and isolated.,Mobile platforms enable anytime,anyplace data,instrument,ELN access,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Serialization and track and trace,Manufacturers and distributors are buying and installing systems for lot level in 2017- item level in 2023.,Mobile devices for 2D bar code,cloud-based track ,trace systems,analytics ,revenue management software,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cold chain/IoT data records,Biologics and specialty drugs require transportation and storage within controlled temperature ranges.,IoT devices ,data networks for transmittal ,storage of time,temperature,location of cold chain shipments ,storage,supply chain analytics tools,-,-,-,-,-,-,-,-,-,-,-,
Empowering collaboration through data,R&D data is routinely collected within research silos with different procedures and different ways of analyzing results. Data is typically not standardized nor easily shared.,Secure,shared cloud data resourcesVirtual collaboration workspacesShared,cloud-based applications (including analytics ,visualization),-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Networked R&D,R&D collaborators are routinely isolated- both organizationally and geographically- complicating team work efforts. Collaborations transcend firewalls- complicating data sharing and security.,Secure cloud foundation with role-based accessIntuitive user interface to encourage ,enable real-time collaboration,including discussions,process,progress management,-,-,-,-,-,-,-,-,-,-,-,-,-,
Clinical app integration,While routinely connected via APIs- leading eClinical applications are still discrete- requiring manual intervention to extract valuable insights. The shift toward risk-based monitoring (RBM) especially depends on more real-time data access and analysis.,DX,shifting from individual apps to comprehensive platform solutions,Predictive analytics,Automated workflows,Cognitive computing,-,-,-,-,-,-,-,-,-,-,-,-,-,
Expanding eClinical user access,Emerging and midtier life science companies lack the capabilities to conduct clinical trials on their own. Availability of CROs and comprehensive eClinical platforms may allow them to advance their efforts further and capture more of their product's value prior to a financial event.,Secure,regulatory compliant cloud platforms regardless of geographyComprehensive eClinical PaaS to enable ,empower the entire clinical trial value chain from sponsor to investigator to patient,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Customer data,Aggregate spend compliance and orchestration of sales and marketing efforts require accurate customer data.,MDM,cloud,data as a service,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Orchestrated provider engagement,Life science (LS) companies want to integrate external data with CRM- multichannel and client history.,Analytics,big data,cloud,MDM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Product data and IDMP compliance,The EMA has defined a road map for reporting medicinal product data ? substance- product- organization- and referential (SPOR).,MDM,cloud,IoT (later for track ,trace),-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Clinical trial operational excellence,Data silos continue to plague leading life science companies- limiting the availability of data- information- and knowledge to reduce risk in strategic decision making. Growing collaborations promise to make the problem worse.,Secure clouds,Automated workflows to streamline data integration,Predictive analytics,HPC to enable evaluation of large ,complex data sets,NLP to extract value from unstructured fields,-,-,-,-,-,-,-,-,-,-,-,-,
Improved real-time patient/drug safety,While processes are in place for severe adverse drug events- more subtle indicators of potential safety issues can be buried in disparate data silos.,Secure clouds,Predictive analytics,Automated workflows,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Utilization of real-world evidence (RWE),Patients in the real world create a wealth of potential new data on their condition and response to treatment through their medical records and social communications that is currently inaccessible to new drug developers.,Secure,HIPAA-compliant cloudsPredictive analyticsBig data & analytics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Clinical trial recruitment,With regulatory guidance in place- life science companies are looking to leverage social communications to better connect with patients- including clinical trial recruitment.,Social communications via a variety of venues,including DTC ads,physician referrals based on EMR prequalification,advocacy groups,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Adverse event (AE), brand sentiment","Most life science companies are ""social listening."" Adverse events are tracked and reported.",Social data,analytics,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
360-degree connected customer management,Siloed customer loyalty or customer management capabilities provide a limited view into customer context and individualized needs.,360-degree omni- channel CRM,AI,analytics,loyalty apps,social media,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented customer support,Inconsistently executed customer support with limited view of customers and their needs- and no ability to escalate proactive processes autonomically.,Social media,contact center tools,case management tools,multitouch engagement,including social,chat,email,phone,SMS,voice,bots,AI,IoT,-,-,-,-,-,
